College Name,Location,College Type,Facilities,Rating
"SriGuru Institute of Technology, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs, Parking Facility",N/A
"SGTB Khalsa College - Sri Guru Tegh Bahadur Khalsa College, New Delhi","New Delhi, Delhi",Public/Govt,"Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Classrooms, Laboratories",4.3/5
"Sri Indu College of Engineering and Technology, Ibrahimpatnam","Ibrahimpatnam, Telangana",Private,"Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Medical/Hospital, Gym, Alumni Associations, Parking Facility, Guest Room/Waiting Room",3.6/5
"Sri Indu Institute of Engineering and Technology, Ibrahimpatnam","Ibrahimpatnam, Telangana",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Transport Facility, Gym, Wifi",4.3/5
"Sri Jayachamarajendra College of Engineering, Mysuru","Mysuru, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, Cafeteria, Convenience Store, I.T Infrastructure, Sports, Banks/ATMs, Medical/Hospital, Gym",N/A
"Sri Jayaram Institute of Engineering and Technology, Thiruvallur","Chennai, Tamil Nadu",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Boys Hostel, Girls Hostel, Guest Room/Waiting Room",N/A
"Sri Jyothi Polytechnic, Vuyyuru","Krishna, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, Laboratories, Transport Facility, I.T Infrastructure, Alumni Associations, Medical/Hospital, Cafeteria, Gym, Auditorium, Parking Facility, Classrooms, Extra Curricular Activities",N/A
"Sri Kalahastheeswara Institute of Technology, Chittoor","Chittoor, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Guest Room/Waiting Room, Parking Facility",4.0/5
"Sri Kalaimagal College of Engineering, Thiruvallur","Chennai, Tamil Nadu",Private,"Boys Hostel, Library",N/A
"Sri Kottam Tulasi Reddy Memorial College of Engineering, Mahabubnagar","Mahabubnagar, Telangana",Private,"Boys Hostel, Girls Hostel, Gym, Library, I.T Infrastructure, Auditorium",N/A
"Sri Krishna Arts and Science College, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Convenience Store",4.5/5
"SKCET Coimbatore - Sri Krishna College of Engineering and Technology, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories, Banks/ATMs, Transport Facility, Classrooms",4.6/5
"Sri Krishna College of Engineering, Arakkonam","Vellore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Auditorium, Gym",N/A
"Sri Krishna College of Technology, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Classrooms",4.7/5
"Sri Krishnadevaraya Engineering College, Gooty","Anantapur, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Auditorium, Medical/Hospital, Gym, Parking Facility",4.0/5
"Sri Krishnadevaraya University, Anantapur","Anantapur, Andhra Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Laboratories",4.0/5
"Sri Krishnadevaraya University College of Engineering and Technology, Anantapuram","Anantapur, Andhra Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Cafeteria, Sports, Laboratories, Auditorium, Gym, Guest Room/Waiting Room, Wifi",4.5/5
"Sri Krishna Engineering College, Chennai","Chennai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Guest Room/Waiting Room, Auditorium",N/A
"SKIT Bangalore - Sri Krishna Institute of Technology, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Banks/ATMs, Guest Room/Waiting Room, Parking Facility, Wifi, Convenience Store",3.3/5
"Sri Krishna Institute of Technology, Chennai","Chennai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, Cafeteria, Auditorium, Transport Facility, I.T Infrastructure, Banks/ATMs, Guest Room/Waiting Room, Laboratories",3.0/5
"Sri Krishna Polytechnic, Bangalore Rural","Bangalore, Karnataka",Private,"Laboratories, Library, Transport Facility, Cafeteria, I.T Infrastructure, Boys Hostel, Girls Hostel, Auditorium, Medical/Hospital, Gym, Sports, Guest Room/Waiting Room, Parking Facility",N/A
"Sri Krishna Polytechnic, Bangalore Urban","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories",N/A
"Sri Krishna Polytechnic College, Arakkonam","Vellore, Tamil Nadu",Private,"Laboratories, Transport Facility, Auditorium, Library, I.T Infrastructure, Sports, Medical/Hospital, Cafeteria, Classrooms, Training and Placement Cell",N/A
"Sri Krishna Polytechnic College, Coimbatore","Coimbatore, Tamil Nadu",Public/Govt,"Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Transport Facility, Gym, Cafeteria, Auditorium, Medical/Hospital, Guest Room/Waiting Room, Parking Facility, Club, Convenience Store, Training and Placement Cell, Classrooms",5.0/5
"Sri Krishna Polytechnic College, Dharmapuri","Dharmapuri, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure, Laboratories, Parking Facility, Classrooms, Training and Placement Cell, Auditorium, Cafeteria",N/A
"Sri Krishna School of Engineering and Management, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, I.T Infrastructure, Cafeteria, Auditorium",N/A
"Sri Krishna Yogi Raj Technical Institute, Hathras","Hathras, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure",N/A
"Sri KS Raju Institute of Technology and Sciences, Ranga Reddy","Hyderabad, Telangana",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Cafeteria",N/A
"Sri Lakshmi Ammal Engineering College, Chennai","Chennai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories",3.0/5
"Sri Lakshmi Narayana College of Engineering, Puducherry","Puducherry, Puducherry",Private,N/A,N/A
"Sri Mahalakshmi Polytechnic College, Cuddalore","Cuddalore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Laboratories, Auditorium, Medical/Hospital, Parking Facility, Gym, Classrooms",N/A
"Sri Mallikarjuna Polytechnic, Chitradurga","Chitradurga, Karnataka",Private,"Library, Laboratories, I.T Infrastructure, Sports, Classrooms, Training and Placement Cell, Auditorium, Medical/Hospital",N/A
"Sri Manakula Vinayagar Engineering College, Puducherry","Madagadipet, Puducherry",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs",3.7/5
"Sri Manakula Vinayagar Polytechnic College, Pondicherry","Puducherry, Puducherry",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Transport Facility, Wifi, Alumni Associations, Laboratories, Cafeteria, Gym, Medical/Hospital, Guest Room/Waiting Room, Parking Facility, Extra Curricular Activities, Training and Placement Cell",N/A
"Sri Manakula Vinayagar School of Architecture, Puducherry","Mannadipet, Puducherry",Private,"Laboratories, Cafeteria, Boys Hostel, Girls Hostel, Banks/ATMs, I.T Infrastructure, Library, Gym, Transport Facility, Extra Curricular Activities, Workshops",N/A
"Srimati Techno Institute, Kolkata","Kolkata, West Bengal",Private,"Library, Wifi, I.T Infrastructure, Laboratories",N/A
"Sri Mittapalli College of Engineering, Guntur","Guntur, Andhra Pradesh",Private,"Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Classrooms, Boys Hostel",4.0/5
"Sri Mittapalli Institute of Technology for Women, Guntur","Guntur, Andhra Pradesh",Private,"Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Auditorium, Transport Facility, Classrooms, Medical/Hospital, Convenience Store, Alumni Associations",5.0/5
"Sri Moogambigai Polytechnic College, Dharmapuri","Dharmapuri, Tamil Nadu",Private,"Library, Laboratories, I.T Infrastructure, Transport Facility, Cafeteria, Sports, Medical/Hospital, Auditorium",N/A
"Sri Mullapudi Venkataraya Memorial Polytechnic, Tanuku","Tanuku, Andhra Pradesh",Private,"Girls Hostel, Library, Laboratories, Auditorium, Cafeteria, I.T Infrastructure, Sports, Classrooms, Training and Placement Cell, Workshops, Medical/Hospital",5.0/5
"Sri Muthalamman Polytechnic College, Paramakudi","Ramanathapuram, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Auditorium, Transport Facility, Laboratories, Cafeteria, Guest Room/Waiting Room, Parking Facility, Sports, Training and Placement Cell, Classrooms",N/A
"Sri Muthukumaran Institute of Technology, Chennai","Chennai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Banks/ATMs, Alumni Associations, Guest Room/Waiting Room",3.2/5
"Sri Nagoji Rao Institute of Technology and Science, Mahaboobnagar","Mahabubabad, Telangana",Private,"Girls Hostel, Library, I.T Infrastructure, Cafeteria, Auditorium",N/A
"Sri Nallalaghu Nadar Polytechnic College, Chennai","Chennai, Tamil Nadu",Private,"Boys Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Wifi, Laboratories, Convenience Store, Auditorium, Parking Facility, Guest Room/Waiting Room, Medical/Hospital, Training and Placement Cell, Extra Curricular Activities, Classrooms",N/A
"Sri Nandhanam College of Engineering and Technology, Vellore","Vellore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Guest Room/Waiting Room, Parking Facility, Medical/Hospital, Convenience Store, Alumni Associations",4.5/5
"Sri Nandhanam Polytechnic College, Tirupattur","Tirupattur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Transport Facility, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Gym, Guest Room/Waiting Room, Parking Facility, Alumni Associations",N/A
"Srinath University, Jamshedpur","Jamshedpur, Jharkhand",Private,"Library, I.T Infrastructure, Classrooms, Sports, Cafeteria, Auditorium, Boys Hostel, Wifi, Girls Hostel, Smart Classrooms, Extra Curricular Activities",N/A
"Srinivasa College of Engineering and Technology, East Godavari","East Godavari, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Banks/ATMs, Wifi, Gym, Sports, Medical/Hospital",N/A
"Srinivasa Diploma in Engineering and Technology, Vizianagaram","Vizianagaram, Andhra Pradesh",Private,"Library, Laboratories, Auditorium, I.T Infrastructure, Sports, Classrooms, Training and Placement Cell",N/A
"Srinivasa Institute of Engineering and Technology, Amalapuram","East Godavari, Andhra Pradesh",Private,"Library, Laboratories, Transport Facility, Boys Hostel, Girls Hostel, Banks/ATMs, I.T Infrastructure, Sports, Gym, Medical/Hospital, Cafeteria, Alumni Associations",4.5/5
"Srinivasa Institute of Engineering and Technology, Thiruvallur","East Godavari, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Convenience Store, Banks/ATMs",2.5/5
"Srinivasa Institute of Technology and Science, Kadapa","Kadapa, Andhra Pradesh",Private,"Library, Sports, Cafeteria, Alumni Associations, Auditorium, Laboratories, Medical/Hospital, I.T Infrastructure, Convenience Store",4.0/5
"Srinivasan Engineering College, Perambalur","Perambalur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Swimming Pool, Laboratories, Convenience Store, Banks/ATMs",3.2/5
"Srinivasan Polytechnic College, Perambalur","Perambalur, Tamil Nadu",Private,"Library, I.T Infrastructure, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Gym, Sports, Guest Room/Waiting Room, Girls Hostel, Boys Hostel",N/A
"Srinivasa Polytechnic College, Pudukkottai","Pudukkottai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Auditorium, Transport Facility, Laboratories, Banks/ATMs, Convenience Store, Cafeteria, Parking Facility, Wifi, Extra Curricular Activities, Training and Placement Cell, Club, Gym",N/A
"Srinivasa Ramanujan Center, Kumbakonam","Kumbakonam, Tamil Nadu",Private,"Library, Laboratories, Auditorium, Medical/Hospital, Cafeteria, I.T Infrastructure, Gym, Sports, Alumni Associations, Extra Curricular Activities, Training and Placement Cell",5.0/5
"Srinivasa Ramanujan Centre, Thanjavur","Kumbakonam, Tamil Nadu",Private,"Library, I.T Infrastructure, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Gym, Sports, Alumni Associations",4.6/5
"Srinivasa Ramanujan Institute of Technology, Anantapur","Anantapur, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Wifi, Laboratories, Guest Room/Waiting Room, Convenience Store, Gym, Parking Facility, Medical/Hospital, Training and Placement Cell",4.8/5
"Srinivasa Subbaraya Polytechnic College, Nagapattinam","Nagapattinam, Tamil Nadu",Public/Govt,"Library, I.T Infrastructure, Alumni Associations, Laboratories, Boys Hostel, Girls Hostel, Auditorium, Cafeteria, Sports, Medical/Hospital, Parking Facility, Extra Curricular Activities, Training and Placement Cell, Club",N/A
"SIT Mangalore - Srinivas Institute of Technology, Mangalore","Mangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Laboratories, Guest Room/Waiting Room, Parking Facility, Training and Placement Cell, Transport Facility, Wifi, Club, Extra Curricular Activities",3.8/5
"Srinivas Reddy Institute of Technology, Nizamabad","Nizamabad, Telangana",Private,"Library, I.T Infrastructure, Cafeteria",3.5/5
"Srinivas School of Engineering, Mangalore","Mangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Guest Room/Waiting Room",2.8/5
"Srinivas University, Mangalore","Mangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Gym, Sports, Transport Facility, I.T Infrastructure, Guest Room/Waiting Room, Alumni Associations",N/A
"SRINIX College of Engineering, Balasore","Gopalgoan, Odisha",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Parking Facility, Alumni Associations, Gym, Training and Placement Cell",3.8/5
"SR Institute of Management and Technology, Lucknow","Lucknow, Uttar Pradesh",Private,"Sports, I.T Infrastructure, Auditorium, Laboratories, Cafeteria, Transport Facility, Medical/Hospital, Gym, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Library, Wifi, Banks/ATMs",4.4/5
"SRIIT Hyderabad - SR International Institute of Technology, Ranga Reddy","Hyderabad, Telangana",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories",2.8/5
"Sri Padmam Polytechnic College, Tirupattur","Tirupattur, Tamil Nadu",Private,"Library, I.T Infrastructure, Laboratories, Sports, Auditorium, Guest Room/Waiting Room, Medical/Hospital, Parking Facility, Alumni Associations, Cafeteria",N/A
"Sri Padmavathi College of Engineering, Kancheepuram","Kancheepuram, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library",4.0/5
"Sri Padmavathi Engineering College, Nellore","Nellore, Andhra Pradesh",Private,"Library, Laboratories, Cafeteria, Medical/Hospital, I.T Infrastructure, Sports, Guest Room/Waiting Room",N/A
"Sri Padmavathi Womens Polytechnic, Chittoor","Chittoor, Andhra Pradesh",Private,"Library, Laboratories, I.T Infrastructure, Girls Hostel, Sports, Auditorium, Cafeteria, Gym, Guest Room/Waiting Room, Medical/Hospital, Alumni Associations, Classrooms, Training and Placement Cell",N/A
"Sri Padmavati Mahila Visvavidyalayam, Tirupati","Tirupati, Andhra Pradesh",Public/Govt,"Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Auditorium, Alumni Associations, Laboratories, Gym, Cafeteria",4.0/5
"SPKC Alwarkurichi - Sri Paramakalyani College, Alwarkurichi","Alwarkurichi, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Auditorium, Cafeteria, Gym, Sports, Alumni Associations, Wifi, Banks/ATMs, Guest Room/Waiting Room, Parking Facility, I.T Infrastructure, Medical/Hospital, Club, Extra Curricular Activities, Training and Placement Cell",N/A
"Sri Parashuram Institute of Technology and Research, Khandwa","Khandwa, Madhya Pradesh",Private,"Library, I.T Infrastructure, Laboratories, Sports, Auditorium, Medical/Hospital, Gym, Guest Room/Waiting Room, Cafeteria, Transport Facility",N/A
"SRI Polytechnic College, Birudur","Birudur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, I.T Infrastructure, Sports, Transport Facility, Medical/Hospital, Auditorium, Cafeteria, Guest Room/Waiting Room, Parking Facility, Training and Placement Cell",N/A
"Sri Polytechnic, Komand","Nayagarh, Odisha",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Laboratories, Parking Facility, Transport Facility, Sports, Guest Room/Waiting Room, Medical/Hospital, Auditorium, Cafeteria, Alumni Associations",N/A
"Sri Prakash College of Engineering, East Godavari","East Godavari, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Guest Room/Waiting Room",N/A
"Sri Prakash College of Technology, East Godavari","East Godavari, Andhra Pradesh",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Laboratories",N/A
"Sri Pratap College, Srinagar","Srinagar, Jammu and Kashmir",Public/Govt,"Boys Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories",3.9/5
"Sri Raaja Raajan College of Engineering and Technology, Sivaganga","Karaikudi, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Wifi",N/A
"Sri Radhe Krishna MD Mahavidyalaya, Tiwaripur","Tiwaripur, Uttar Pradesh",Private,"Library, Auditorium, Sports, Alumni Associations, I.T Infrastructure, Laboratories",N/A
"Sri Ragavendra Polytechnic College, Tiruchengode","Komarapalayam, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Laboratories, Transport Facility, Auditorium, Gym, Guest Room/Waiting Room, Cafeteria, Medical/Hospital, Parking Facility, Alumni Associations, Training and Placement Cell, Club",N/A
"Sri Raghavendra Institute of Science and Technology, Nellore","Nellore, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Guest Room/Waiting Room, Laboratories",4.0/5
"Sri Raja Rajeshwara Government Arts and Science College, Karimnagar","Karimnagar, Telangana",Public/Govt,"Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Auditorium, Medical/Hospital, Alumni Associations, Wifi, Guest Room/Waiting Room, Parking Facility",4.0/5
"Sri Raja Rajeswari Engineering College, Karepalli","Khammam, Telangana",Private,Library,N/A
"Sri Rajiv Gandhi Polytechnic College, Erode","Erode, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Auditorium, Medical/Hospital, Guest Room/Waiting Room, Gym, Parking Facility, Classrooms",N/A
"Sri Ramachandra Faculty of Engineering and Technology, Chennai","Chennai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Medical/Hospital, Transport Facility, Wifi",N/A
"Sri Ramachandra Polytechnic College, Vellore","Vellore, Tamil Nadu",Private,"Laboratories, Boys Hostel, Sports, Transport Facility, Library, Auditorium, Medical/Hospital, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Alumni Associations, Training and Placement Cell, Classrooms, Extra Curricular Activities",N/A
"Sri Ramakrishna College of Arts and Science, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi, Laboratories, Banks/ATMs, Transport Facility, Physical Challenged Student",4.5/5
"Sri Ramakrishna College of Engineering, Perambalur","Perambalur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories",3.8/5
"Sri Ramakrishna Engineering College, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs",3.9/5
"SRIT Coimbatore - Sri Ramakrishna Institute of Technology, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs, Classrooms",3.7/5
"Sri Ramakrishna Mission Vidyalaya, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Library, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations",N/A
"Sri Ramakrishna Mission Vidyalaya College of Arts and Science, Coimbatore","Coimbatore, Tamil Nadu",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi",3.0/5
"Sri Ramakrishna Mission Vidyalaya Polytechnic College, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Gym, Auditorium, Cafeteria, Medical/Hospital, Guest Room/Waiting Room, Parking Facility, Wifi, Extra Curricular Activities",N/A
"Sri Ramakrishna Polytechnic College, Coimbatore","Coimbatore, Tamil Nadu",Private,"Library, Transport Facility, Medical/Hospital, Sports, Boys Hostel, Girls Hostel, Alumni Associations, I.T Infrastructure, Laboratories, Wifi, Cafeteria, Banks/ATMs, Parking Facility, Auditorium, Gym, Training and Placement Cell, Club, Extra Curricular Activities",N/A
"Sri Ramana Maharishi College of Engineering, Tiruvannamalai","Tiruvannamalai, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure",N/A
"Sri Ramana Polytechnic College, Tirunelveli","Tirunelveli, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure, Transport Facility, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Guest Room/Waiting Room, Girls Hostel, Boys Hostel, Parking Facility, Classrooms, Training and Placement Cell",N/A
"Sri Ramanathan Engineering College, Tirupur","Tiruppur, Tamil Nadu",Private,"Sports, Auditorium, Library, Laboratories, Medical/Hospital, Gym, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Boys Hostel, Girls Hostel",N/A
"Sri Ramanujar Engineering College, Chennai","Rathinamangalam, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs",2.2/5
"Sriram Engineering College, Thiruvallur","Thiruvallur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Convenience Store, Banks/ATMs, Guest Room/Waiting Room",4.0/5
"Sri Ram Nallamani Yadava College of Arts and Science, Tenkasi","Tirunelveli, Tamil Nadu",Private,"Library, I.T Infrastructure, Guest Room/Waiting Room, Sports, Auditorium, Laboratories, Medical/Hospital, Transport Facility, Boys Hostel, Girls Hostel, Cafeteria, Gym, , Workshops, Training and Placement Cell, Extra Curricular Activities",N/A
"Sriram Polytechnic College, Chennai","Thiruvallur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs, Parking Facility, Extra Curricular Activities, Training and Placement Cell",N/A
"SRIET Coimbatore - Sri Ranganathar Institute of Engineering and Technology, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Guest Room/Waiting Room",N/A
"Sri Ranganathar Institute of Polytechnic College, Coimbatore","Coimbatore, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Medical/Hospital, Parking Facility, Convenience Store, Banks/ATMs, Club, Classrooms, Training and Placement Cell",5.0/5
"Sri Rangapoopathi College of Engineering, Villupuram","Villupuram, Tamil Nadu",Private,"Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Sports, Boys Hostel, Girls Hostel, Transport Facility",3.0/5
"Sri Renga Polytechnic College, Tiruchirappalli","Tiruchirappalli, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure, Laboratories, Auditorium, Cafeteria, Guest Room/Waiting Room, Parking Facility, Medical/Hospital, Classrooms, Training and Placement Cell",N/A
"Sri Rengeswarar Polytechnic College, Namakkal","Namakkal, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Auditorium, Cafeteria, Transport Facility, Parking Facility, Alumni Associations, Wifi, Classrooms",N/A
"Sri Renugambal College of Architecture, Thiruvannamalai","Tiruvannamalai, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure, Laboratories",N/A
